시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도
서울특별시 용산구1,서울특별시 용산구 한남동(순천향병원 부근),3,3,0,0,2,1,127.0055862,37.5332951
서울특별시 성동구1,서울특별시 성동구 행당동(무학여고앞 부근),4,5,0,0,5,0,127.0327244,37.55863534
서울특별시 광진구1,서울특별시 광진구 구의동(슬기유치원앞 부근),3,3,0,2,1,0,127.0930947,37.55223187
서울특별시 광진구2,서울특별시 광진구 광장동(광장사거리 부근),5,5,0,1,3,1,127.1036476,37.54433089
서울특별시 중랑구1,서울특별시 중랑구 중화동(태능시장 부근),3,3,0,0,2,1,127.0769334,37.59809991
서울특별시 중랑구2,서울특별시 중랑구 중화동(성은교회앞 부근),3,3,0,1,2,0,127.0772234,37.60301599
서울특별시 중랑구3,서울특별시 중랑구 묵동(브라운스톤태릉아파트(102동) 부근),3,3,0,1,2,0,127.0829619,37.6180591
서울특별시 성북구1,서울특별시 성북구 종암동(종암동 근린생활시설 부근),4,5,0,2,3,0,127.0339153,37.5991471
서울특별시 성북구2,서울특별시 성북구 석관동(석관초등학교 부근),4,4,0,3,1,0,127.0601408,37.61151842
서울특별시 도봉구1,서울특별시 도봉구 쌍문동(쌍문3파출소 부근),4,4,0,0,4,0,127.0252199,37.64838966
서울특별시 노원구1,서울특별시 노원구 공릉동(공릉역 부근),3,4,0,1,3,0,127.0751945,37.6267563
서울특별시 은평구1,서울특별시 은평구 녹번동(서운빌딩 부근),3,3,0,1,1,1,126.9270893,37.60272758
서울특별시 마포구1,서울특별시 마포구 용강동(신석초등교앞_대흥로_진입 부근),3,3,0,1,1,1,126.9375911,37.54453203
서울특별시 마포구2,서울특별시 마포구 망원동(동교초교 부근),4,4,0,2,2,0,126.9030265,37.55749038
서울특별시 양천구1,서울특별시 양천구 목동(국민건강보험공단양천지사 부근),3,3,0,0,3,0,126.8774899,37.53582399
서울특별시 양천구2,서울특별시 양천구 목동(강서고등학교 부근),4,4,0,0,3,1,126.8687405,37.53646723
서울특별시 양천구3,서울특별시 양천구 신월동(신길제1동하나은행 부근),4,4,0,1,3,0,126.8373105,37.53051928
서울특별시 강서구1,서울특별시 강서구 화곡동(신정초교앞사거리 부근),5,5,0,1,4,0,126.8546391,37.53161252
서울특별시 구로구1,서울특별시 구로구 오류동(오류1동새마을금고도서관 부근),3,4,0,1,2,1,126.8423858,37.49729456
서울특별시 구로구2,서울특별시 구로구 오류동(오남중학교 부근),3,3,0,3,0,0,126.8378258,37.48796841
서울특별시 구로구3,서울특별시 구로구 개봉동(개봉고가차도(남측) 부근),4,4,0,2,2,0,126.8559377,37.49119353
서울특별시 금천구1,서울특별시 금천구 독산동(시흥4동사거리 부근),4,4,0,0,4,0,126.9048954,37.46401808
서울특별시 금천구2,서울특별시 금천구 시흥동(은행나무오거리 부근),4,6,0,1,5,0,126.908656,37.45112497
서울특별시 영등포구1,서울특별시 영등포구 신길동(대영고등학교 부근),3,3,0,0,2,1,126.9055294,37.50381834
서울특별시 동작구1,서울특별시 동작구 상도동(상도동다빈모1프라자 부근),3,3,0,1,2,0,126.9351841,37.49894481
서울특별시 관악구1,서울특별시 관악구 신림동(신성교(남단) 부근),3,3,0,0,3,0,126.9371166,37.47004126
서울특별시 관악구2,서울특별시 관악구 봉천동(대주빌딩 부근),3,3,0,2,1,0,126.9588876,37.47985565
서울특별시 송파구1,서울특별시 송파구 송파동(청원빌딩 부근),3,3,0,0,2,1,127.110134,37.50946704
서울특별시 송파구2,서울특별시 송파구 송파동(송파여성문화회관 부근),3,3,0,0,3,0,127.110024,37.50470486
