시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도
서울 서울중부1,서울특별시 중구 오장동(오장동사거리 부근),4,0,0,3,1,0,127.0039067,37.56470012
서울 서울중부2,서울특별시 중구 황학동(신당중앙시장 부근),5,5,0,3,1,1,127.0186247,37.56555784
서울 서울중부3,서울특별시 중구 신당동(운동장평화시장 부근),8,9,0,7,2,0,127.0142461,37.56798797
서울 서울남대문1,서울특별시 중구 중림동(중림삼거리_청파로_진입 부근),4,4,0,3,0,1,126.9683179,37.55994834
서울 서울남대문2,서울특별시 중구 남대문로4가(숭례문_남대문로_진입_1 부근),4,4,1,1,2,0,126.97764,37.5610265
서울 서울종로1,서울특별시 종로구 재동(현대주택문화센터 부근),8,8,1,7,0,0,126.9882609,37.57753161
서울 서울혜화1,서울특별시 종로구 창신동(동묘앞역_일반국도6호선_진출 부근),17,19,1,5,5,8,127.0142164,37.57255767
서울 서울서대문1,서울특별시 서대문구 창천동(연세대 부근),11,12,0,6,5,1,126.9369649,37.56010944
서울 서울서부1,서울특별시 은평구 응암동(서운빌딩 부근),7,7,0,2,5,0,126.9249886,37.60098169
서울 서울서부2,서울특별시 은평구 신사동(신사사거리 부근),8,8,0,2,5,1,126.9093246,37.5962444
서울 서울용산1,서울특별시 용산구 한강로1가(전자상가입구 부근),5,5,0,3,2,0,126.968676,37.52971514
서울 서울강북1,서울특별시 강북구 수유동(국민마트 부근),5,6,0,5,1,0,127.016493,37.64250214
서울 서울강북2,서울특별시 강북구 미아동(미아삼거리역 부근),6,7,0,3,4,0,127.0298132,37.61375721
서울 서울강북3,서울특별시 강북구 미아동(삼다도아구탕 부근),8,9,0,5,3,1,127.0215948,37.6175829
서울 서울강북4,서울특별시 강북구 미아동(미아2동사무소 부근),8,11,0,6,5,0,127.0179329,37.62765914
서울 서울동대문1,서울특별시 동대문구 용두동(성동구청 부근),4,4,0,3,1,0,127.0362354,37.57184403
서울 서울동대문2,서울특별시 동대문구 장안동(장안APT 부근),4,4,0,3,1,0,127.0744755,37.57216833
서울 서울동대문3,서울특별시 동대문구 회기동(시조사삼거리_일반국도6호선_진 부근),8,8,0,6,2,0,127.0537932,37.58804582
서울 서울광진1,서울특별시 광진구 구의동(올림픽대교북단사거리_아차성길_ 부근),4,4,0,3,1,0,127.0966676,37.54132986
서울 서울마포1,서울특별시 마포구 대흥동(마포세무서앞 부근),4,4,0,1,2,1,126.9410516,37.54656358
서울 서울영등포1,서울특별시 영등포구 양평동2가(상록수아파트 부근),3,3,2,0,1,0,126.8831695,37.52332708
서울 서울영등포2,서울특별시 영등포구 여의도동(종합안보전시장 부근),4,4,0,4,0,0,126.9245077,37.52583059
서울 서울영등포3,서울특별시 영등포구 당산동2가(영등포유통상가 부근),5,5,1,3,1,0,126.8962788,37.52138481
서울 서울영등포4,서울특별시 영등포구 대림동(대림3PB 부근),6,7,0,1,6,0,126.8990082,37.49712531
서울 서울영등포5,서울특별시 영등포구 신길동(도림신용협동조합 부근),6,7,0,2,5,0,126.9092594,37.50394799
서울 서울금천1,서울특별시 금천구 시흥동(백산주유소 부근),5,6,0,2,3,1,126.9032407,37.45000575
서울 서울금천2,서울특별시 금천구 시흥동(시흥사거리 부근),7,8,1,3,4,0,126.9001735,37.45466829
서울 서울동작1,서울특별시 동작구 상도동(동광교회 부근),4,4,0,1,3,0,126.934414,37.50210436
서울 서울중랑1,서울특별시 중랑구 망우동(겸재사거리 부근),4,5,0,2,2,1,127.0979261,37.59130143
서울 서울중랑2,서울특별시 중랑구 면목동(동원사거리 부근),4,4,1,2,1,0,127.0926921,37.58957453
서울 서울관악1,서울특별시 관악구 봉천동(현대시장입구 부근),15,16,1,10,5,0,126.946499,37.48344042
서울 서울관악2,서울특별시 관악구 신림동(신림교(남단) 부근),17,19,0,14,5,0,126.9285181,37.48150703
서울 서울강남1,서울특별시 강남구 삼성동(원혜빌딩 부근),4,4,0,3,1,0,127.0544695,37.50872037
서울 서울강남2,서울특별시 강남구 삼성동(삼성역 부근),6,6,1,4,1,0,127.0633293,37.5086543
서울 서울강남3,서울특별시 강남구 청담동(영동대교남단삼거리_도산대로_진 부근),7,8,0,5,3,0,127.0526217,37.52484136
서울 서울강남4,서울특별시 강남구 논현동(청하빌딩 부근),7,7,1,5,0,1,127.0226651,37.50852402
