시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도
서울특별시 종로구1,서울특별시 종로구 혜화동(혜화초교 부근),2,2,0,1,1,0,126.9996071,37.58841291
서울특별시 성북구1,서울특별시 성북구 종암동(숭례초교 부근),2,2,0,0,1,1,127.0357332,37.59550472
서울특별시 성북구2,서울특별시 성북구 동소문동7가(정덕초교 부근),2,2,0,2,0,0,127.0145636,37.59757144
서울특별시 성북구3,서울특별시 성북구 석관동(석관초교 부근),3,3,0,2,1,0,127.0595956,37.61042892
서울특별시 도봉구1,서울특별시 도봉구 쌍문동(쌍문초교 부근),2,2,0,0,2,0,127.0244298,37.64812892
서울특별시 노원구1,서울특별시 노원구 상계동(동일초교 부근),2,2,1,1,0,0,127.056828,37.66443684
서울특별시 구로구1,서울특별시 구로구 개봉동(개봉초교 부근),2,3,0,1,0,2,126.8569301,37.48993952
서울특별시 구로구2,서울특별시 구로구 개봉동(매봉초교 부근),2,2,0,1,1,0,126.8458306,37.50392059
서울특별시 송파구1,서울특별시 송파구 방이동(방산초교 부근),2,2,0,0,2,0,127.122101,37.50979654
부산광역시 남구1,부산광역시 남구 용호동(용호초교 부근),2,2,0,1,1,0,129.1096602,35.1225485
부산광역시 남구2,부산광역시 남구 용호동(분포초교 부근),2,2,0,1,1,0,129.1136624,35.12877156
부산광역시 해운대구1,부산광역시 해운대구 반여동(장산초교 부근),2,2,0,2,0,0,129.1191075,35.19955555
부산광역시 금정구1,부산광역시 금정구 남산동(남산초교 부근),3,3,0,1,1,1,129.0881971,35.26277537
대구광역시 달서구1,대구광역시 달서구 두류동(성남초교 부근),2,2,0,0,2,0,128.5715066,35.85302603
광주광역시 북구1,광주광역시 북구 양산동(양산초교 부근),2,2,0,1,1,0,126.8728694,35.20643137
광주광역시 광산구1,광주광역시 광산구 운남동(금구초교 부근),2,2,0,1,1,0,126.8149078,35.17766246
대전광역시 대덕구1,대전광역시 대덕구 중리동(대전용전초교 부근),2,2,0,1,1,0,127.4300776,36.3559508
경기도 수원시 영통구1,경기도 수원시 영통구 매탄동(매탄초교 효동초교 부근),2,2,0,1,1,0,127.0446475,37.26266404
경기도 의정부시1,경기도 의정부시 장암동(동암초교 부근),2,2,0,1,1,0,127.0534968,37.72334512
경기도 부천시 원미구1,경기도 부천시 원미구 상동(송내초교 부근),2,2,0,1,1,0,126.7601216,37.490115
경기도 평택시1,경기도 평택시 장당동(장당초교 부근),2,2,0,1,1,0,127.0573566,37.05039551
경기도 안산시 단원구1,경기도 안산시 단원구 선부동(화랑초교 부근),2,2,0,1,1,0,126.8180731,37.3314114
경기도 안산시 단원구2,경기도 안산시 단원구 선부동(안산화정초교 부근),3,3,0,2,1,0,126.8164611,37.3453435
경기도 남양주시1,경기도 남양주시 가운동(가운초교 부근),2,2,0,0,2,0,127.1568878,37.60065299
강원도 동해시1,강원도 동해시 쇄운동(청운초교 부근),2,2,0,1,1,0,129.1051372,37.48569878
전라남도 광양시1,전라남도 광양시 중동(백운초교 부근),2,2,0,0,2,0,127.6914809,34.9370074
경상북도 구미시1,경상북도 구미시 사곡동(구미사곡초교 부근),2,2,0,0,2,0,128.3601478,36.09896837
경상북도 예천군1,경상북도 예천군 풍양면(풍양초교 부근),3,3,0,0,3,0,128.3005673,36.51129446
경상남도 창원시 진해구1,경상남도 창원시 진해구 용원동(안골포초교 부근),2,4,0,0,4,0,128.8057126,35.10347408
경상남도 사천시1,경상남도 사천시 사천읍(사천초교 부근),2,2,0,1,1,0,128.0917702,35.08281411
경상남도 김해시1,경상남도 김해시 삼방동(신어초교 부근),2,2,0,2,0,0,128.9123772,35.24346501
경상남도 거제시1,경상남도 거제시 일운면(마전초교 부근),2,2,0,1,1,0,128.7212548,34.85922601
